Well;Position;OD600;GFP;GFP-background;OD-background;GFP/OD
A1;3;0.4484;123;107.3333333;0.356466667;301.1034225
A2;3;0.4521;121;105.3333333;0.360166667;292.4571957
A3;3;0.4738;128;112.3333333;0.381866667;294.1689944
A4;3;0.4832;123;107.3333333;0.391266667;274.3227126
A5;3;0.5011;132;116.3333333;0.409166667;284.3177189
A6;3;0.5162;130;114.3333333;0.424266667;269.4846009
A7;3;0.5512;137;121.3333333;0.459266667;264.1892873
A8;3;0.5414;143;127.3333333;0.449466667;283.2987244
A9;3;0.5478;147;131.3333333;0.455866667;288.0959345
A10;38;0.1865;701;685.3333333;0.094566667;7247.091999
A11;38;0.1907;697;681.3333333;0.098766667;6898.41377
A12;38;0.1982;765;749.3333333;0.106266667;7051.442911
B1;38;0.1711;774;758.3333333;0.079166667;9578.947368
B2;38;0.1746;781;765.3333333;0.082666667;9258.064516
B3;38;0.1714;823;807.3333333;0.079466667;10159.39597
B4;38;0.1705;677;661.3333333;0.078566667;8417.479847
B5;38;0.1778;740;724.3333333;0.085866667;8435.559006
B6;38;0.1682;741;725.3333333;0.076266667;9510.48951
B7;73;0.1645;778;762.3333333;0.072566667;10505.2825
B8;73;0.1668;793;777.3333333;0.074866667;10382.90294
B9;73;0.1801;923;907.3333333;0.088166667;10291.11531
B10;73;0.1737;697;681.3333333;0.081766667;8332.653893
B11;73;0.1818;744;728.3333333;0.089866667;8104.599407
B12;73;0.1998;938;922.3333333;0.107866667;8550.679852
C1;73;0.1779;745;729.3333333;0.085966667;8483.908492
C2;73;0.1837;811;795.3333333;0.091766667;8666.908827
C3;73;0.1839;842;826.3333333;0.091966667;8985.139543
C4;108;0.3585;697;681.3333333;0.266566667;2555.958484
C5;108;0.3618;699;683.3333333;0.269866667;2532.114625
C6;108;0.3479;683;667.3333333;0.255966667;2607.110301
C7;108;0.3131;623;607.3333333;0.221166667;2746.043708
C8;108;0.3307;710;694.3333333;0.238766667;2907.999442
C9;108;0.3277;683;667.3333333;0.235766667;2830.482115
C10;108;0.3156;555;539.3333333;0.223666667;2411.326379
C11;108;0.3428;606;590.3333333;0.250866667;2353.175658
C12;108;0.3511;651;635.3333333;0.259166667;2451.446945
D1;143;0.5509;106;90.33333333;0.458966667;196.8189411
D2;143;0.5491;103;87.33333333;0.457166667;191.0317171
D3;143;0.5447;104;88.33333333;0.452766667;195.0968122
D4;143;0.5761;108;92.33333333;0.484166667;190.7056799
D5;143;0.5706;107;91.33333333;0.478666667;190.8077994
D6;143;0.5586;108;92.33333333;0.466666667;197.8571429
D7;143;0.569;113;97.33333333;0.477066667;204.0245947
D8;143;0.5711;115;99.33333333;0.479166667;207.3043478
D9;143;0.5604;116;100.3333333;0.468466667;214.1739007
D10;207;0.5517;111;95.33333333;0.459766667;207.3515551
D11;207;0.5637;112;96.33333333;0.471766667;204.19699
D12;207;0.5479;117;101.3333333;0.455966667;222.2384677
E1;207;0.5858;113;97.33333333;0.493866667;197.0842333
E2;207;0.5611;110;94.33333333;0.469166667;201.0657194
E3;207;0.5518;110;94.33333333;0.459866667;205.1319223
E4;207;0.5391;110;94.33333333;0.447166667;210.957883
E5;207;0.5393;110;94.33333333;0.447366667;210.863572
E6;207;0.5359;112;96.33333333;0.443966667;216.983257
E7;593;0.5469;110;94.33333333;0.454966667;207.3411972
E8;593;0.5666;116;100.3333333;0.474666667;211.3764045
E9;593;0.5659;117;101.3333333;0.473966667;213.7984387
E10;593;0.5523;114;98.33333333;0.460366667;213.5978568
E11;593;0.5561;114;98.33333333;0.464166667;211.8491921
E12;593;0.5386;116;100.3333333;0.446666667;224.6268657
F1;593;0.5844;114;98.33333333;0.492466667;199.6751049
F2;593;0.6045;114;98.33333333;0.512566667;191.8449633
F3;593;0.6079;118;102.3333333;0.515966667;198.3332257
F4;983;0.5637;110;94.33333333;0.471766667;199.9576062
F5;983;0.5878;113;97.33333333;0.495866667;196.2893251
F6;983;0.5807;115;99.33333333;0.488766667;203.2326263
F7;983;0.5893;114;98.33333333;0.497366667;197.7079284
F8;983;0.6097;115;99.33333333;0.517766667;191.8496105
F9;983;0.5921;117;101.3333333;0.500166667;202.5991336
F10;983;0.5183;98;82.33333333;0.426366667;193.1045266
F11;983;0.465;93;77.33333333;0.373066667;207.2909221
F12;983;0.5325;106;90.33333333;0.440566667;205.038965
G1;backbone;0.4341;113;97.33333333;0.342166667;284.4617633
G2;backbone;0.4225;108;92.33333333;0.330566667;279.3183422
G3;backbone;0.4211;108;92.33333333;0.329166667;280.5063291
G4;backbone;0.4104;105;89.33333333;0.318466667;280.5107808
G5;backbone;0.4173;108;92.33333333;0.325366667;283.7823993
G6;backbone;0.4204;107;91.33333333;0.328466667;278.0596712
G7;backbone;0.4197;109;93.33333333;0.327766667;284.7554154
G8;backbone;0.4171;107;91.33333333;0.325166667;280.8815992
G9;backbone;0.4225;109;93.33333333;0.330566667;282.3434506
G10;empty vector;0.523;106;90.33333333;0.431066667;209.5576864
G11;empty vector;0.5446;107;91.33333333;0.452666667;201.7673049
G12;empty vector;0.5168;109;93.33333333;0.424866667;219.6767613
H1;empty vector;0.5619;110;94.33333333;0.469966667;200.7234556
H2;empty vector;0.5895;114;98.33333333;0.497566667;197.6284585
H3;empty vector;0.5745;113;97.33333333;0.482566667;201.6992471
H4;empty vector;0.5769;113;97.33333333;0.484966667;200.7010791
H5;empty vector;0.5612;111;95.33333333;0.469266667;203.1538571
H6;empty vector;0.571;112;96.33333333;0.479066667;201.0854439
H7;j23119;0.1517;948;932.3333333;0.059766667;15599.55382
H8;j23119;0.1614;945;929.3333333;0.069466667;13378.119
H9;j23119;0.1616;990;974.3333333;0.069666667;13985.64593
H10;media;0.0922;15;;;
H11;media;0.0925;16;;;
H12;media;0.0911;16;;;
